№;Тип установи;Код за ЄДРПОУ;Повне найменування;Повна адреса;ПІБ керівника;Дата видачі
441;Фінансова компанія;39628794;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ОКТАВА ФІНАНС""";01133 КИЇВ, КИЇВ 133, ЄВГЕНА КОНОВАЛЬЦЯ, буд.36-В;КОПИЦЯ ВЛАДИСЛАВ ІВАНОВИЧ;26.05.2015
442;Фінансова компанія;39623382;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІЛІГРАН""";01133 КИЇВ, КИЇВ 133, МЕЧНИКОВА, буд.14/1;ЖИТКОВ ОЛЕКСІЙ ЄВГЕНОВИЧ;26.05.2015
443;Фінансова компанія;39623157;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""КАВЕРТОН""";03150 КИЇВ, КИЇВ 150, ЧЕРВОНОАРМІЙСЬКА, буд.129;БІЛИК ДМИТРО ІВАНОВИЧ;26.05.2015
444;Фінансова компанія;39706196;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЕКСПРЕС-ФІНАНС""";61057 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, вулиця Сумська, буд.5, корп.-, оф.(кв.)-;Кальченко Роман Вікторович;21.05.2015
445;Фінансова компанія;39706018;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ "" ФІНЕКСПРЕС """;01042 КИЇВ, КИЇВ 42, ПАТРІСА ЛУМУМБИ, буд.19, оф.(кв.)приміщення 50;Ганзя Дмитро Олексійович;21.05.2015
446;Фінансова компанія;39692262;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ІНТАЙМ ФІНАНС""";04050 КИЇВ, КИЇВ 50, Січових Стрільців, буд.77;Конюшко Денис Борисович;21.05.2015
447;Фінансова компанія;39513440;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АЛЬКОР ФІНАНС""";01135 КИЇВ, КИЇВ 135, ВУЛИЦЯ ДМИТРІВСЬКА, буд.92-94, оф.(кв.)кабінет 615;Ліповой Андрій Сергійович;19.05.2015
448;Ломбард;39743898;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""СПАС"" ТОВ ""БЛАГО+"" І КОМПАНІЯ""";61105 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, проспект Героїв Сталінграда, буд.25/2;Петров Андрій Валерійович;14.05.2015
449;Фінансова компанія;39433528;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АРІО ФОРТІС ФІНАНС""";01011 КИЇВ, КИЇВ 11, ПАНАСА МИРНОГО, буд.7, корп.-, оф.(кв.)3;РОКИТСЬКИЙ ЄВГЕН ЛЕОНІДОВИЧ;14.05.2015
450;Фінансова компанія;39414002;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЇВСЬКА ФАКТОРИНГОВА КОМПАНІЯ""";07400 КИЇВСЬКА ОБЛАСТЬ, БРОВАРСЬКИЙ РАЙОН БРОВАРИ, Бульвар Незалежності, буд.31;Чижов  Сергій Валерійович;14.05.2015
451;Фінансова компанія;39706180;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАКТОР КРЕДО ФІНАНС""";02105 КИЇВ, КИЇВ 105, вулиця Тампере, буд.13, корп.Б, оф.(кв.)офіс 302;Мішук Дмитро Владиславович;07.05.2015
452;Фінансова компанія;39705983;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНС-ГОЛД""";01103 КИЇВ, КИЇВ 103, Бульвар Дружби Народів, буд.28-А, корп.Нежиле приміщення №6, оф.(кв.)офіс №1;Кальченко Роман Вікторович;07.05.2015
453;Фінансова компанія;39704618;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ "" ЄВРОПЕЙСЬКЕ БЮРО РЕСТРУКТУРИЗАЦІЇ """;04119 КИЇВ, КИЇВ 119, ЯКІРА, буд.10А, оф.(кв.)12;Степаненко Віталій Вікторович;07.05.2015
454;Фінансова компанія;39669537;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ПРИБУТОК""";01133 КИЇВ, КИЇВ 133, Мечникова, буд.14/1;Дембрович Світлана Степанівна;07.05.2015
455;Фінансова компанія;39669296;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""УНО КАПІТАЛ""";01042 КИЇВ, КИЇВ 42, Івана Кудрі, буд.39;Москалюк Артем Миколайович;07.05.2015
456;Фінансова компанія;39410359;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОММЕРЦ БЕНК""";01135 КИЇВ, КИЇВ 135, Золотоустівська, буд.3;САВЧУК    МИКОЛА ІВАНОВИЧ;07.05.2015
457;Інша кредитна установа;39410720;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «АГЕМА ФІНАНС»;49038 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРО, Вулиця Привокзальна, буд.4, оф.(кв.)приміщення 20;Переяслов Владислав Володимирович;30.04.2015
458;Ломбард;39613505;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ТРИ ДЕВ'ЯТЬ"" ТОВ ""ТРИ ДЕВ'ЯТЬ"" ТА ТОВ ""БОЛГА""";03124 КИЇВ, КИЇВ 124, Миколи Василенка, буд.21, корп.-, оф.(кв.)-;Черних Юрій Сергійович;23.04.2015
459;Фінансова компанія;39700642;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ІКСОРА-ІНВЕСТЛАЙН»;04080 КИЇВ, КИЇВ 80, Кирилівська, буд.82, корп.-, оф.(кв.)256;Дубовий Владислав Миколайович;21.04.2015
460;Фінансова компанія;39637380;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНАНС ЕКСПЕРТ""";01024 КИЇВ, КИЇВ 24, Круглоуніверситетська, буд.2/1Б;Орєхов Михайло Сергійович;21.04.2015
461;Фінансова компанія;39656355;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДСД ФІНАНС""";01033 КИЇВ, КИЇВ 33, Саксаганського, буд.59б, оф.(кв.)приміщення 4;Джиоєва Тетяна Семенівна;16.04.2015
462;Фінансова компанія;39642515;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ЕКСПЕРТ ІНВЕСТ»;01032 КИЇВ, КИЇВ 32, ЖИЛЯНСЬКА, буд.114;Щокін В'ячеслав Васильович;16.04.2015
463;Фінансова компанія;39637353;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ТРЕНД ІНВЕСТ ГРУП»;01032 КИЇВ, КИЇВ 32, ЖИЛЯНСЬКА, буд.118;Усатий Микола Іванович;16.04.2015
464;Фінансова компанія;39462386;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СТАРК ФІНАНС""";03179 КИЇВ, КИЇВ 179, ПРОСПЕКТ ПЕРЕМОГИ, буд.131, корп.-, оф.(кв.)приміщення 3;Оладько Микола Миколайович;16.04.2015
465;Інша кредитна установа;39593165;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТОП Кредит""";04073 КИЇВ, КИЇВ 73, проспект Степана Бандери, буд.8;Житков  Олексій Євгенович;09.04.2015
466;Фінансова компанія;39645720;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""РЕВЕРС ІНВЕСТ""";01033 КИЇВ, КИЇВ 33, Гайдара, буд.58/10;Ситник Максим  Миколайович;03.04.2015
467;Фінансова компанія;39637416;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ВЕРМОНТ ФІНАНС»;03150 КИЇВ, КИЇВ 150, Антоновича, буд.72, корп.-, оф.(кв.)-;Ярова  Марія Олександрівна;03.04.2015
468;Фінансова компанія;39439692;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СТРОНГ""";01133 КИЇВ, КИЇВ 133, БУЛЬВАР ЛЕСІ УКРАЇНКИ, буд.26;ЛАРЬКОВ ВОЛОДИМИР ІГОРЕВИЧ;03.04.2015
469;Фінансова компанія;39407959;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ЮАПЕЙ"" ";04205 КИЇВ, КИЇВ 205, Проспект Оболонський, буд.35;Зарахович Анатолій Йосипович;03.04.2015
470;Фінансова компанія;38962830;Товариство з обмеженою відповідальністю «Фінансова компанія «ДБК»;04074 КИЇВ, КИЇВ 74, вулиця Лугова, буд.13, корп.-, оф.(кв.)-;Притика  Олександр  Анатолійович;26.03.2015
471;Ломбард;39623089;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""СУНДУК"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДІА-МАЙДАН І КОМПАНІЯ""";04073 КИЇВ, КИЇВ 73, РИЛЄЄВА, буд.7/11неж.прим.в літ.А, оф.(кв.)груп.прим.112,113;Костенко Євген Анатолійович;19.03.2015
472;Фінансова компанія;39580014;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ГРАНД ФІНАНС""";04071 КИЇВ, КИЇВ 71, вулиця Щекавицька, буд.30/39, корп.-, оф.(кв.)220;Дзюба Олександр Миколайович;19.03.2015
473;Фінансова компанія;39363414;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ СТАТУС ГРУП""";03038 КИЇВ, КИЇВ 38, Лінійна, буд.17;Тюрiн Георгiй Сергiйович;19.03.2015
474;Фінансова компанія;36538808;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРББ""";03151 КИЇВ, КИЇВ 151, Ушинського, буд.40, корп.-, оф.(кв.)-;Кальченко Роман Вікторович;19.03.2015
475;Інша кредитна установа;39576799;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПЕРША УКРАЇНСЬКА КРЕДИТНА КОМПАНІЯ""";01004 КИЇВ, КИЇВ 4, ВУЛИЦЯ ЛЬВА ТОЛСТОГО, буд.6-А;Вавренчук Михайло Андрійович;12.03.2015
476;Інша кредитна установа;39411656;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТЕХНО-ФІНАНС""";33028 РІВНЕНСЬКА ОБЛАСТЬ, РІВНЕ, МІСТО РІВНЕ, Гетьмана Мазепи, буд.12;Мартинюк Андрій Юрійович;12.03.2015
477;Ломбард;36484721;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД КРУГЛИК І КОМПАНІЯ""";09100 КИЇВСЬКА ОБЛАСТЬ, БІЛОЦЕРКІВСЬКИЙ РАЙОН БІЛА ЦЕРКВА, Бульвар Олександрійський , буд.101;Фелдеші Йосип Йосипович;05.03.2015
478;Фінансова компанія;39496153;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ВІЗАРД""";01042 КИЇВ, КИЇВ 42, ІВАНА КУДРІ, буд.39;Омельяненко Владислав Євгенович;26.02.2015
479;Фінансова компанія;39495338;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВИЙ РЕГІСТР""";04119 КИЇВ, КИЇВ 119, ЯКІРА, буд.10-А;МАЩЕНКО СТАНІСЛАВ МИКОЛАЙОВИЧ;26.02.2015
480;Страхова компанія;39461548;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ  ""СТРАХОВА КОМПАНІЯ ""СМАРТ ІНШУРАНС""";07807 КИЇВСЬКА ОБЛАСТЬ, БОРОДЯНСЬКИЙ РАЙОН ДРУЖНЯ, ПРИВОКЗАЛЬНА, буд.13, оф.(кв.)7;Дубовой Сергій Сергійович;19.02.2015
481;Страхова компанія;39439294;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""ВЛАСНИЙ ЗАХИСТ""";04070 КИЇВ, КИЇВ 70, Сагайдачного/Ігорівська, буд.10/5, корп.А;Березовська Тамара  Миколаївна;19.02.2015
482;Страхова компанія;39436293;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""ПЕРША ЄВРОПЕЙСЬКА""";04073 КИЇВ, КИЇВ 73, Сирецька, буд.5;Михайленко  Надія  Миколаївна;19.02.2015
483;Страхова компанія;39433769;ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ “СТРАХОВА ГРУПА  “ОБЕРІГ”;03040 КИЇВ, КИЇВ 40, Васильківська, буд.14;Крендельов Іван Федорович;19.02.2015
484;Страхова компанія;39380534;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""АФІНА-АВТО""";01601 КИЇВ, КИЇВ 601, Шовковична, буд.42-44;Щупак  Юрій  Павлович;19.02.2015
485;Страхова компанія;39351629;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""СТРАХОВИЙ ПОЛІС""";01133 КИЇВ, КИЇВ 133, МЕЧНИКОВА, буд.14/1;ПЕТРЕНКО ОЛЕКСАНДР ІВАНОВИЧ;19.02.2015
486;Фінансова компанія;39574901;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СЕНС АКТИВ""";03680 КИЇВ, КИЇВ 680, ПРОВУЛОК ОХТИРСЬКИЙ, буд.7, корп.-, оф.(кв.)-;Лень Сергій Георгійович;18.02.2015
487;Фінансова компанія;39555684;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕЙ ТІ ФІНАНС""";61052 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Полтавський шлях, буд.31;Скригін Олег Вікторович;18.02.2015
488;Фінансова компанія;39508708;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СІТІ ФІНАНС""";04053 КИЇВ, КИЇВ 53, Січових Стрільців, буд.37-41, корп.-, оф.(кв.)-;Яковець Юрій Миколайович;18.02.2015
489;Фінансова компанія;39508383;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ПАРАДАЙЗ ФІНАНС""";03150 КИЇВ, КИЇВ 150, ЧЕРВОНОАРМІЙСЬКА, буд.129;НАЗАРКЕВИЧ СЕРГІЙ ПЕТРОВИЧ;18.02.2015
490;Фінансова компанія;39508362;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СІТІ ФІНАНС ГРУП""";01042 КИЇВ, КИЇВ 42, ІВАНА КУДРІ, буд.39;Слєсаренко Ярослав Володимирович;18.02.2015
491;Фінансова компанія;39508336;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ПРАЙМ ФІНАНС""";02095 КИЇВ, КИЇВ 95, КНЯЖИЙ ЗАТОН, буд.21;Соя  Віталій  Васильович;18.02.2015
492;Фінансова компанія;39507620;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""НАТОКС ФІНАНС""";01001 КИЇВ, КИЇВ 1, СОФІЇВСЬКА, буд.10, оф.(кв.)4;Виноградній Сергій Олександрович;18.02.2015
493;Фінансова компанія;39507238;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СОЮЗ ФІНАНС""";01054 КИЇВ, КИЇВ 54, Бульварно-Кудрявська, буд.41, оф.(кв.)41;КОНОНОВ ВІТАЛІЙ СЕРГІЙОВИЧ;18.02.2015
494;Фінансова компанія;39506632;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ТОТАЛ ФІНАНС""";03191 КИЇВ, КИЇВ 191, Дмитра Луценка, буд.10;Устименко Юлія  Іванівна;18.02.2015
495;Фінансова компанія;39493634;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ПОЗИКА""";03191 КИЇВ, КИЇВ 191, МАРШАЛА ЯКУБОВСЬКОГО, буд.2;Андреєв Олег Вікторович;18.02.2015
496;Фінансова компанія;39472970;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОФІ-ФАКТОРИНГ""";02081 КИЇВ, КИЇВ 81, проспект Петра Григоренка, буд.16, оф.(кв.)нежит.приміщення 361;Сильченко  Анна Михайлівна;18.02.2015
497;Фінансова компанія;39465020;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""КОНТРАКТ ПЛЮС""";"01015 КИЇВ, КИЇВ 15, вулиця ЛЕЙПЦИЗЬКА, буд.15, літера ""А"", оф.(кв.)офіс 321";Зозуля Петро Вікторович;18.02.2015
498;Фінансова компанія;39464933;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""КРЕДО""";01042 КИЇВ, КИЇВ 42, ІВАНА КУДРІ, буд.39;Причина Сергій Анатолійович;18.02.2015
499;Ломбард;39451311;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ПАРУС"" ТОВ ""ГЛОБАЛ ФРАНЧАЙЗІНГ"" І КОМПАНІЯ""";01011 КИЇВ, КИЇВ 11, Печерський узвіз, буд.19;Малевич Юлія Вікторівна;18.02.2015
500;Ломбард;39447043;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ЕТАЛОН"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БФК"" І ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОМПАНІЯ ЕТАЛОН ЛТД""";49000 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРО, Титова, буд.11, оф.(кв.)ІІ А;Кушніренко  Ігор Валерійович;18.02.2015
501;Фінансова компанія;39444482;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «АЙБОКС»;04050 КИЇВ, КИЇВ 50, Глибочицька , буд.17;Огороднік  Олександр Миколайович;18.02.2015
502;Фінансова компанія;39442658;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЮНІВЕРСУМ ФІНАНС""";01103 КИЇВ, КИЇВ 103, БУЛЬВАР ДРУЖБИ НАРОДІВ, буд.10, оф.(кв.)47;Бортюк Наталія  Леонідівна;18.02.2015
503;Фінансова компанія;39440451;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНС ТРАСТ ГРУП""";01133 КИЇВ, КИЇВ 133, Кутузова, буд.18/7, корп.-, оф.(кв.)офіс 301;Астаніна Ольга Євгеніївна;18.02.2015
504;Фінансова компанія;39439451;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНС СМАРТ ГРУП»;01042 КИЇВ, КИЇВ 42, Академіка Філатова, буд.10-А, корп.-, оф.(кв.)-;Причина Сергій Анатолійович;18.02.2015
505;Фінансова компанія;39431321;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТРАСТ-ФАКТОРИНГ""";01014 КИЇВ, КИЇВ 14, бульвар Лесі Українки, буд.27/2, корп.А;Боровський Олександр Миколайович;18.02.2015
506;Фінансова компанія;39409668;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АККОРД""";01133 КИЇВ, КИЇВ 133, МЕЧНИКОВА, буд.14/1;Трубнікова Анастасія В'ячеславівна;18.02.2015
507;Фінансова компанія;39409610;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ІННОВАЦІЯ""";01042 КИЇВ, КИЇВ 42, Івана Кудрі, буд.39;Ярова Марія Олександрівна;18.02.2015
508;Фінансова компанія;39405417;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ТАНДЕМ-ФІНАНС""";04074 КИЇВ, КИЇВ 74, ЛУГОВА, буд.12, корп.-, оф.(кв.)-;Веремієнко Катерина Олексіївна;18.02.2015
509;Фінансова компанія;39395137;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СМАРТФІНАНС""";01021 КИЇВ, КИЇВ 21, Кловський узвіз, буд.10;Карпунін Євген Анатолійович;18.02.2015
510;Фінансова компанія;39306544;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ПОЛУКС»;04655 КИЇВ, КИЇВ 655, Глибочицька, буд.72, оф.(кв.)303;Котов Вячеслав Леонідович;18.02.2015
511;Фінансова компанія;39306471;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «АЛЬКОР ІНВЕСТ»;04116 КИЇВ, КИЇВ 116, Шолуденка, буд.1-Б, оф.(кв.)203;Котов Вячеслав Леонідович;18.02.2015
512;Фінансова компанія;39289289;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ЛАБОРАТОРІЯ ФІНАНСІВ»;04211 КИЇВ, КИЇВ 211, Героїв Сталінграда, буд.4-А, корп.-, оф.(кв.)-;Стрілецький Віктор Миколайович;18.02.2015
513;Фінансова компанія;39288180;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АВІСТА""";01004 КИЇВ, КИЇВ 4, ШОВКОВИЧНА, буд.46/48, корп.-, оф.(кв.)-;ГОЙХМАН ОЛЕКСАНДР ОЛЕКСАНДРОВИЧ;18.02.2015
514;Ломбард;39216687;ПОВНЕ ТОВАРИСТВО «ЛОМБАРД «СТАБІЛЬНИЙ» ТОВ «УКРГОЛДФІНАНС» І КОМПАНІЯ»;09100 КИЇВСЬКА ОБЛАСТЬ, БІЛОЦЕРКІВСЬКИЙ РАЙОН БІЛА ЦЕРКВА, Гординського, буд.24, оф.(кв.)304;ГУРИЛЬОВ ОЛЕКСАНДР ГЕНАДІЙОВИЧ;18.02.2015
515;Фінансова компанія;39201162;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РАЙТ ПАРТНЕР""";01133 КИЇВ, КИЇВ 133, ЩОРСА, буд.31, корп.-, оф.(кв.)-;Литвиненко  Віктор Миколайович;18.02.2015
516;Фінансова компанія;39013808;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АЛЬФА-ІНВЕСТ ГРУП""";02121 КИЇВ, КИЇВ 121, Декабристів, буд.5, оф.(кв.)249;ПАВЛІЧЕНКО ТИМОФІЙ ОЛЕГОВИЧ;18.02.2015
517;Фінансова компанія;39010283;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ ЛЕОГЕЙМІНГ ПЕЙ»;01014 КИЇВ, КИЇВ 14, Звіринецька, буд.47, оф.(кв.)17;Андросович Віталій Віталійович;18.02.2015
518;Фінансова компанія;39008431;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЕКСКОМБУД-ІНВЕСТ""";79066 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Зелена, буд.301В;Кривун Світлана Григорівна;18.02.2015
519;Фінансова компанія;38982442;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ АКТИНІЯ»;03680 КИЇВ, КИЇВ 680, Смольна, буд.9-Б;Гнелецький Олексій Олександрович;18.02.2015
520;Фінансова компанія;37769432;"Товариство з обмеженою відповідальністю ""РОДЕО КАПІТАЛ""";03148 КИЇВ, КИЇВ 148, Пшенична , буд.9, корп.-, оф.(кв.)-;Максимюк Олександр Михайлович;18.02.2015
521;Фінансова компанія;32984617;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БОСПОР - ІНВЕСТ""";04107 КИЇВ, КИЇВ 107, Багговутівська, буд.12, корп.___________, оф.(кв.)__________;Ярош Анна Анатоліївна;18.02.2015
